* Required Fields,* Bắt buộc phải nhập
Comment,N&#7897;i dung
Contact Form,N&#7897;I dung
Contact Information,Th&#244;ng tin li&#234;n h&#7879;
Contact Us,Li&#234;n h&#7879;
Contact Us Form,N&#7897;I dung li&#234;n h&#7879;
Contacts,Li&#234;n h&#7879;
Contacts Section,N&#7897;I dung
Email,Email
Email Options,T&#249;y ch&#7885;n email
Email Sender,Ng&#432;&#7901;I g&#7917;i
Email Template,Mẫu email
Enable Contact Us,Bật module liên hệ
Name,H&#7885; t&#234;n
Send Emails To,G&#7913;I email &#273;&#7871;n
Submit,Gửi
English Language,Tiếng Anh
Telephone,&#272;i&#7879;n tho&#7841;i
"Unable to submit your request. Please, try again later","Kh&#244;ng th&#7875; g&#7917;I li&#234;n h&#7879;, vui l&#242;ng th&#7917; l&#7841;I sau"
Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.,"C&#225;m &#417;n b&#7841;n &#273;&#227; li&#234;n h&#7879; v&#7899;I ch&#250;ng t&#244;I, b&#7841;n s&#7869; nh&#7853;n &#273;&#432;&#7907;c tr&#7843; l&#7899;I trong 24h"
Our Address,&#272;&#7883;a ch&#7881; li&#234;n h&#7879;
